timestamp,label,F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ
0.0,r,8757.988432212618,8696.323048469585,7568.892140526749,6872.893227685462,6088.9984168917,8175.053132876979,6518.792249406626,-50.25,924.9375,-229.625
1.0,r,-722.5118626982712,-717.292286018218,-623.7816644257706,-567.827728218873,-501.84215561291916,-672.8271736323779,-535.5620436200609,-51.875,924.6875,-232.125
2.0,r,-541.2796626651556,-538.6644152067515,-467.6370268531507,-424.4229249846404,-377.5183050181604,-506.6008232205624,-406.13522525632203,-57.625,923.4375,-232.8125
3.0,r,91.9963454696497,92.21250975982181,79.37102160892124,72.25895479904257,65.11680914546471,86.68724891805631,71.65975632076282,-60.375,923.9375,-233.375
4.0,r,0.6959183561596964,1.3990689007063606,0.9151741401843083,0.5208682746162376,0.5427321798472285,0.4741588434123646,-0.44550611372152255,-57.0,925.5,-227.8125
5.0,l,-0.9004417228464615,-2.0234721225201127,-2.011418520711507,-1.2192995810507214,-1.6840184891372123,-1.4610078652538405,-1.5039837750310792,-53.9375,927.4375,-221.5625
6.0,l,0.19531889275511288,1.4521397369674838,1.0799227279401737,0.9757889727946338,1.1115547760780533,0.9282676577651321,1.3690890478644424,-54.4375,927.6875,-219.1875
7.0,l,-1.5809170292701162,-1.462694933621493,-1.4375159427063549,-1.3168537688841524,-0.9316828753980473,-1.3715732160107765,-1.3782670923326759,-53.1875,928.375,-215.75
8.0,l,2.101012505384492,1.069869648922092,1.0701950392556585,1.1266706948564744,1.2684404757572478,0.5676223578021004,2.0838049992052476,-52.1875,929.9375,-213.8125
9.0,l,-1.8579914302555274,0.13681884093542862,-0.09285496210066264,0.5395283514404187,-0.2387013697600073,1.151458292980912,-0.6556563415771487,-51.875,929.9375,-210.875
10.0,l,3.1818434473515302,0.1147551214501849,1.5948490508639352,-0.8940465022549645,-0.060524137655963615,-0.46640284722515046,-0.6076621074425957,-50.125,932.0625,-205.9375
11.0,r,-2.745646883169426,-1.3012786649612216,-2.29360257890317,0.8579163906369703,-0.36636528085355313,-0.8529640103682042,-0.4233353169933994,-49.25,931.9375,-200.5625
12.0,r,1.8373668124434657,2.0618404190098873,1.6623879230766803,-0.4604312890136916,0.7629624003153574,1.400114635450273,-0.03521960205907055,-52.8125,932.9375,-201.0
13.0,l,-0.15750751755103123,-0.6891458825068355,0.07081985133966595,0.7414048783811932,-0.39451476701885924,-0.05948146073592022,1.4679679082404495,-50.4375,933.125,-199.5625
